CD_MUN,NM_MUN,eligible_area_ha_mapbiomas,urgency_5yr_index,reversal_risk,cost_per_ha,biodiversity_priority_index,Extinction risk score norm,carbon index norm
1506112,Quatipuru,3571.970173989206,0.0018728835634298,0.0,2062.3104624277457,0.005063772800316,0.0,0.4728145856230395
1500859,Anapu,301329.5209774172,0.2146185520616935,0.9,2176.9809826589594,0.1823314289856742,0.2058823529411765,0.9262696022855653
1501303,Barcarena,15080.51425989948,0.0060208665162644,0.0,2053.105260115607,0.1771263390041102,0.06372549019607844,0.5322692588168966
1506161,Rio Maria,321145.72643985704,0.0298659193842636,0.1,2073.356705202312,0.0065829725455785,0.014705882352941176,0.46028361980366383
1502608,Colares,3330.7345467450573,0.0001566744820855,0.0,2058.62838150289,0.0032826253064244,0.014705882352941176,0.6180338330890526
1506138,Redenção,254930.1474331891,0.0195878983505231,0.0,2060.206416184971,0.1041690639630373,0.014705882352941176,0.4806046997320703
1506195,Rurópolis,204179.51016017896,0.1583240803225304,0.8,2120.434739884393,0.0784466633354093,0.18627450980392157,0.5559389171839549
1507458,São Geraldo do Araguaia,238923.2006255355,0.0101809559149626,0.0,2070.726647398844,0.1763119774952313,0.17647058823529416,0.5559026486646375
1507474,São João de Pirabas,11286.12413927194,0.0016480937665251,0.0,2062.3104624277457,0.0036053069151341,0.0,0.6370837910084114
1507466,São João da Ponta,5834.68217517687,0.0014206034554305,0.0,2058.891387283237,0.0,0.0,0.44791924733428473
1506187,Rondon do Pará,449135.79007402674,0.1678795190127469,0.7,2094.134161849711,0.0025722928704016,0.014705882352941176,0.666374128089188
1503903,Juruti,49325.937936537615,0.0162204048769232,0.1,2226.6890751445085,0.2089811155917289,0.014705882352941176,0.5290755489748554
1503101,Gurupá,5726.981427715017,0.0089507680442222,0.0,2294.544566473988,0.109003906411485,0.014705882352941176,0.5040630917286802
1505700,Ponta de Pedras,606.5338996433452,0.0009347184794562,0.0,2147.5243352601155,0.0461942437595405,0.0,0.4819695593002944
1504406,Marapanim,17577.687712867228,0.0032435310412814,0.0,2058.62838150289,0.0622642172455119,0.02450980392156863,0.556463533791893
1501808,Breves,2321.539161298994,0.0023734840934906,0.0,2242.995433526012,0.0726539954295029,0.02450980392156863,0.4997772800689169
1504455,Medicilândia,227239.52891196465,0.1558009939001723,0.9,2192.761329479769,0.0085373844254227,0.0,0.5120229548492392
1504422,Marituba,3641.7990197954814,0.0001450338315477,0.0,2041.27,0.036234031749193,0.0,0.41684297653281527
1507508,São João do Araguaia,90446.73749943948,0.0232099551936404,0.0,2054.946300578035,0.0032503588269924,0.0,0.11086659198497745
1504059,Mãe do Rio,36445.00032752631,0.0012012969483977,0.0,2063.362485549133,0.0053595212240971,0.0,0.5009346018898394
1502301,Capitão Poço,192842.00913086568,0.03656708854786,0.2,2073.619710982659,0.0682643565214109,0.0,0.5389662664843745
1507102,São Caetano de Odivelas,11282.598863654071,0.0025327273211595,0.0,2057.0503468208094,0.0133122547155176,0.0,0.5974135449345217
1507151,São Domingos do Araguaia,117880.40764822304,0.012378839597273,0.0,2056.7873410404623,7.024712277047371e-05,0.0,0.0
1508209,Vigia,12401.055252811071,0.0020854785937402,0.0,2052.84225433526,0.0489933738183122,0.0,0.5680072408746619
1501006,Aveiro,93763.66932620804,0.087220880148184,0.6,2327.1572832369943,0.2599130807699155,0.12254901960784315,0.5019135427531998
1503606,Itaituba,556192.4420207423,0.5395646064538095,1.0,2287.443410404624,0.6040863350168777,0.5,0.5155557529707463
1504901,Muaná,347.4335327440325,0.0003572833087853,0.0,2168.5647976878613,0.0400933769165758,0.07843137254901962,0.46947163408569664
1506708,Santana do Araguaia,685505.3098368827,0.1292640119087253,0.5,2102.0243352601155,0.1535547553157474,0.0,0.40823797644107906
1504976,Nova Ipixuna,111839.51482557067,0.0273613521536895,0.0,2061.521445086705,0.0070716481267721,0.0,0.4944126437320672
1501907,Bujaru,25485.66812596882,0.0026116465053907,0.0,2059.6804046242773,0.0099466862548588,0.014705882352941176,0.6051976865363673
